Op_Seq,BOM_Target(EA),Item_Description,Ref_Des,PDF_Actual(EA),Actual_fond(EA),Not_found(EA),Result
50,193.0,"RESISTOR_THICK-FILM RESISTOR 0603 RC22H 10KOHM 1% 100MW 100PPM 7""","YR1,YR13,YR14,YR16,YR17,YR22,YR29,YR32,YR33,YR34,YR36,YR37,YR38,YR40,YR41,YR44,YR45,YR46,YR47,YR48,YR49,YR50,YR51,YR52,YR55,YR59,YR62,YR63,YR76,YR77,YR86,YR87,YR91,YR92,YR94,YR95,YR96,YR99,YR100,YR102,YR103,YR110,YR111,YR112,YR113,YR114,YR115,YR116,YR117,YR118,YR119,YR120,YR121,YR122,YR123,YR124,YR125,YR126,YR127,YR128,YR129,YR130,YR137,YR138,YR139,YR140,YR141,YR142,YR143,YR144,YR145,YR146,YR147,YR148,YR149,YR150,YR151,YR152,YR154,YR156,YR157,YR158,YR161,YR164,YR173,YR174,YR175,YR177,YR178,YR179,YR180,YR183,YR184,YR193,YR198,YR203,YR207,YR209,YR211,YR213,YR215,YR217,YR218,YR219,YR220,YR221,YR223,YR225,YR226,YR227,YR228,YR229,YR230,YR231,YR232,YR235,YR236,YR237,YR238,YR241,YR242,YR243,YR244,YR245,YR246,YR247,YR248,YR249,YR250,YR251,YR252,YR253,YR255,YR256,YR259,YR260,YR264,YR281,YR282,YR283,YR284,YR285,YR303,YR309,YR310,YR321,YR322,YR329,YR335,YR342,YR346,YR358,YR375,YR379,YR404,YR418,YR429,YR465,YR466,YR467,YR468,YR469,YR472,YR473,YR474,YR475,YR476,YR479,YR480,YR481,YR483,YR484,YR485,YR486,YR487,YR488,YR491,YR492,YR497,YR499,YR502,YR503,YR504,YR507,YR511,YR521,YR525,YR527,YR580,YR691,YR694,YR728,YR730",,,,
50,8.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 100 OHM 1% 0,125W 100PPM BD","YR304,YR348,YR508,YR514,YR531,YR532,YR535,YR581",,,,
50,16.0,RESISTOR_THICK-FILM RESISTOR 0603 100KOHM 1%,"YR2,YR3,YR12,YR65,YR75,YR194,YR196,YR197,YR199,YR200,YR204,YR205,YR208,YR212,YR415,YR436",,,,
50,1.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE RR0603K 9,09 KOHM 1% 0,063W",YR206,,,,
50,12.0,"RES_SMD.RES.0603 100 KOHM 1% 0,1W 100PPM LF","YR400,YR401,YR402,YR408,YR410,YR412,YR445,YR446,YR447,YR452,YR454,YR456",,,,
50,4.0,"RES_SMD RES.1206 3,32 OHM 1% 250MW 200PPM LF","YR495,YR496,YR516,YR517",,,,
50,8.0,DIODE_DIODE ZENER CMS 10V 5% SOD80,"YCR55,YCR56,YCR70,YCR71,YCR86,YCR87,YCR121,YCR122",,,,
50,104.0,DIODE_DIODE DE COMMUTATION RAPIDE 4448 100V 150MA SOD80C,"YCR16,YCR17,YCR18,YCR19,YCR20,YCR21,YCR22,YCR23,YCR24,YCR25,YCR26,YCR27,YCR28,YCR29,YCR30,YCR31,YCR32,YCR33,YCR34,YCR35,YCR36,YCR37,YCR38,YCR39,YCR40,YCR41,YCR42,YCR43,YCR44,YCR45,YCR46,YCR47,YCR48,YCR49,YCR50,YCR51,YCR52,YCR53,YCR54,YCR57,YCR58,YCR59,YCR60,YCR61,YCR62,YCR63,YCR64,YCR65,YCR66,YCR67,YCR68,YCR69,YCR72,YCR73,YCR74,YCR75,YCR76,YCR77,YCR78,YCR79,YCR80,YCR81,YCR82,YCR83,YCR84,YCR85,YCR107,YCR108,YCR109,YCR110,YCR111,YCR112,YCR113,YCR114,YCR115,YCR116,YCR117,YCR118,YCR119,YCR120,YCR142,YCR143,YCR144,YCR145,YCR146,YCR147,YCR148,YCR149,YCR150,YCR151,YCR152,YCR153,YCR154,YCR155,YCR156,YCR157,YCR158,YCR159,YCR160,YCR161,YCR162,YCR163,YCR164,YCR165",,,,
50,46.0,DIODE_SMD RECT.DIODE 1000V 1A DO219AB LF,"YCR1,YCR2,YCR3,YCR4,YCR5,YCR6,YCR7,YCR14,YCR15,YCR180,YCR181,YCR182,YCR183,YCR184,YCR185,YCR186,YCR187,YCR188,YCR189,YCR190,YCR191,YCR192,YCR193,YCR194,YCR195,YCR196,YCR197,YCR198,YCR205,YCR206,YCR207,YCR208,YCR209,YCR210,YCR211,YCR212,YCR213,YCR214,YCR215,YCR216,YCR217,YCR218,YCR219,YCR220,YCR221,YCR222",,,,
50,9.0,IC_AMPLIFICATEUR SUIVEUR BUF634 250MA HI.SPEED BUFFER SO8,"YMA2,YMA3,YMA10,YMA11,YMA12,YMA14,YMA21,YMA23,YMA24",,,,
50,1.0,IC_OSCILLATEUR A QUARTZ 2.4e+010HZ VALEUR A VERIFIER,YMN2,,,,
50,1.0,"IC_OSC.CMS XO 23,04MHZ 5V 10PPM -40+85D",YMN1,,,,
50,7.0,"IC_LOGIQUE AHCT74AHCT1G14 1X INV.SOT353 7""","YMN13,YMN15,YMN16,YMN17,YMN18,YMN19,YMN20",,,,
50,1.0,IC_IC.CMS EEPROM FLASH EPC2 TQFP32,YMN22,,,,
50,2.0,IC_IC.CMS DS90C032B RECEPT.LIGNE LVDS SO16,"YMN25,YMN26",,,,
50,6.0,IC_IC.CMS 29F400B FLASH 512KX8 70NS TSOP48,"YMN4,YMN5,YMN6,YMN7,YMN8,YMN9",,,,
50,1.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE RR0603K 14,3 KOHM 1% 0,063W",YR201,,,,
50,12.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 14,7KOHM 1% 100MW 100PPM 7""","YR420,YR421,YR422,YR430,YR431,YR432,YR442,YR443,YR444,YR459,YR460,YR461",,,,
50,6.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 51,1KOHM 1% 63MW 100PPM 7""","YR316,YR318,YR320,YR326,YR327,YR328",,,,
50,2.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE RR0603K 154 KOHM 1% 0,063W","YR18,YR35",,,,
50,2.0,RES_SMD RES.0603 22MOHM 5% 100MW 200PPM LF,"YR540,YR541",,,,
50,1.0,"RES_RES.CMS 0603 5,11KOHM 1%",YR263,,,,
50,56.0,"RESISTOR_THICK-FILM RESISTOR 0603 RC22H 4,75K 1% 100MW 100PPM 7""","YR68,YR74,YR254,YR274,YR275,YR276,YR278,YR279,YR280,YR287,YR288,YR289,YR293,YR295,YR297,YR331,YR332,YR333,YR343,YR344,YR345,YR349,YR350,YR351,YR353,YR355,YR357,YR376,YR377,YR378,YR380,YR381,YR382,YR384,YR385,YR386,YR390,YR392,YR394,YR423,YR424,YR425,YR426,YR427,YR428,YR433,YR434,YR435,YR437,YR439,YR441,YR510,YR515,YR518,YR522,YR526",,,,
50,1.0,"RESISTOR_THICK-FILM RESISTOR 0603 47,5KOHM 1% 100MW 100PPM 7""",YR21,,,,
50,12.0,RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 475 OHM 1%,"YR69,YR106,YR165,YR169,YR265,YR306,YR307,YR308,YR315,YR317,YR319,YR383",,,,
50,5.0,"RESISTOR_THICK-FILM RESISTOR 0603 RC22H 475K 1% 100MW 100PPM 7""","YR266,YR536,YR537,YR538,YR539",,,,
50,2.0,"RESISTOR_THICK-FILM RESISTOR 0603 46,4KOHM 1% 100MW 100PPM 7""","YR20,YR42",,,,
